"id","country","poor"
20052,"A",0.78
53456,"A",1
2512,"A",0.39
86890,"A",0.054
81192,"A",0.868
66417,"A",0.03
8419,"A",0.978
32564,"A",0.26
34393,"A",0.54
7057,"A",0.18
50304,"A",0.84
41824,"A",0.006
70043,"A",0.004
94091,"A",0.038
11420,"A",0.276
68757,"A",0.998
75702,"A",0.942
92710,"A",0.952
28071,"A",0.652
24826,"A",0.124
89112,"A",0.884
18848,"A",0.27
55655,"A",0.01
79168,"A",0.538
66354,"A",0.224
67873,"A",0.002
75991,"A",0.994
40607,"A",0.26
20723,"A",0.498
13357,"A",0.09
46355,"A",0.006
80064,"A",0.074
45404,"A",0.878
99619,"A",0.012
91842,"A",0.67
61780,"A",0.408
46707,"A",0.1
59117,"A",1
40088,"A",0.774
98613,"A",0.336
41865,"A",0.132
99381,"A",0.858
76302,"A",0.814
25079,"A",0.812
38637,"A",0.006
7085,"A",0.526
47240,"A",0.258
30848,"A",0.07
68880,"A",0.458
3933,"A",0.208
28133,"A",0.004
45840,"A",0.952
9811,"A",0.304
24911,"A",0.168
65077,"A",0.51
97989,"A",0.066
49381,"A",0.09
14742,"A",0.804
76405,"A",0.526
26246,"A",0.322
73638,"A",0.002
90149,"A",0.258
74776,"A",0.81
23857,"A",0.208
9767,"A",0.298
94303,"A",0.646
28389,"A",0.826
42001,"A",0.372
73136,"A",0.01
60149,"A",0.02
64068,"A",0.778
18411,"A",1
59054,"A",0.736
54001,"A",1
21606,"A",0.172
19058,"A",0
54507,"A",0.93
81475,"A",0.998
1209,"A",0.894
37778,"A",0.712
58313,"A",0.242
77647,"A",0.886
90585,"A",0.374
38122,"A",0.046
29569,"A",0.26
48213,"A",0.582
37362,"A",0.14
35991,"A",0.812
74959,"A",0.752
99581,"A",0.002
3444,"A",0.084
74333,"A",0.382
2838,"A",0.008
8769,"A",0.986
66152,"A",0.976
88972,"A",0.026
15432,"A",0.196
60226,"A",0.788
93307,"A",0.404
1043,"A",0.842
64226,"A",1
94436,"A",0.276
29553,"A",0.58
81945,"A",0.166
87620,"A",0.014
64084,"A",0.654
88535,"A",0.008
81696,"A",0.96
5687,"A",0.556
77318,"A",0.864
10201,"A",0.1
17155,"A",0.854
6959,"A",0.302
20606,"A",0.044
67869,"A",0.534
64148,"A",0.59
87863,"A",0.498
72203,"A",0.996
90472,"A",0.274
46139,"A",0.364
28820,"A",0.038
660,"A",0.9
50128,"A",0.088
14080,"A",0.832
98484,"A",0.522
76273,"A",0.078
12885,"A",0.02
94320,"A",0.958
785,"A",0.674
82413,"A",0.61
78631,"A",0.968
96083,"A",0.142
6557,"A",0.684
55623,"A",0.058
41251,"A",0.59
62568,"A",0.296
84230,"A",0.002
7826,"A",0.638
42891,"A",0.818
86566,"A",0.632
56351,"A",0.998
9025,"A",0.784
5894,"A",0.836
45615,"A",0.536
68718,"A",0.228
75526,"A",0.004
6492,"A",0.898
73986,"A",0.104
26235,"A",0.052
51374,"A",0.778
70724,"A",0.996
41169,"A",0.06
25629,"A",0.03
8214,"A",0.828
36388,"A",0.558
4976,"A",0.994
47315,"A",0.844
67361,"A",0.188
5604,"A",0.108
39158,"A",0
96990,"A",0.98
35481,"A",0.972
59977,"A",0.956
46094,"A",0.278
90815,"A",0.592
77546,"A",0.558
45543,"A",0.188
94745,"A",0.812
18152,"A",0
21957,"A",0.606
34896,"A",0.078
60345,"A",0.034
88171,"A",0.876
57138,"A",0.076
29731,"A",0.588
21872,"A",0.406
34752,"A",0.168
43648,"A",0.374
59418,"A",0.906
2750,"A",0.32
98849,"A",0.116
19119,"A",0.1
43038,"A",0.65
35647,"A",0.158
17005,"A",0.324
49799,"A",0.954
53105,"A",0.122
44158,"A",0.164
63338,"A",0.08
13672,"A",0.036
57923,"A",0.016
17903,"A",0.868
44083,"A",0.828
16651,"A",0.258
6279,"A",0.306
38101,"A",0.24
85849,"A",0.84
83937,"A",0.622
29551,"A",0.4
35569,"A",0.084
12980,"A",0.034
7750,"A",0.002
86699,"A",0.05
61766,"A",0.566
69945,"A",0.99
6611,"A",0.006
78316,"A",1
88380,"A",0.052
93904,"A",0.46
45527,"A",0
71884,"A",0.802
62524,"A",0.02
78282,"A",0.752
73151,"A",0.61
55951,"A",0.18
97658,"A",0.826
43145,"A",0.744
23957,"A",0.002
73480,"A",0.66
65481,"A",0.706
72696,"A",0.024
85474,"A",0.064
3912,"A",0.946
39833,"A",0.754
86005,"A",0.076
92325,"A",0.06
43698,"A",0.294
62309,"A",0.684
15287,"A",0.982
89548,"A",0.072
52506,"A",1
8140,"A",0.48
27895,"A",0.944
62759,"A",0.046
3262,"A",0.4
68061,"A",0.352
89417,"A",0.962
66661,"A",0.196
55643,"A",0.86
76669,"A",0.996
79866,"A",0.884
91322,"A",0.394
99536,"A",0.004
65627,"A",0.008
12573,"A",0.97
66579,"A",0.77
66045,"A",0.286
60123,"A",0.018
8400,"A",0.004
95946,"A",0.084
43194,"A",0.866
13316,"A",0.038
99550,"A",0.662
20599,"A",0.132
13064,"A",0.964
83903,"A",0.954
267,"A",0.07
5099,"A",0.122
94293,"A",0.706
43440,"A",0.174
79924,"A",0.45
28022,"A",0.028
19153,"A",0.876
89102,"A",0.88
74201,"A",0.912
39368,"A",0.996
64715,"A",0.022
76056,"A",0.74
59038,"A",0.556
10603,"A",0.018
4394,"A",0.33
90778,"A",0.172
45553,"A",0.064
80626,"A",0.696
12006,"A",0.028
14782,"A",0.768
36195,"A",0.732
85390,"A",0.018
14226,"A",0.454
41527,"A",0.22
16298,"A",0.548
87820,"A",0.67
61775,"A",0.05
40699,"A",0.016
58585,"A",0.74
14182,"A",0.04
42925,"A",0.982
17082,"A",0.068
18658,"A",0.256
85652,"A",0.968
47217,"A",0.072
46276,"A",0.786
2790,"A",0.99
15092,"A",0.406
31265,"A",0.98
32918,"A",0.43
4541,"A",0.8
38735,"A",0.404
33090,"A",0.656
48050,"A",0.984
44967,"A",0.022
3040,"A",0.782
56213,"A",0.034
5972,"A",0.644
54455,"A",0.28
32152,"A",0.852
35683,"A",0.944
77965,"A",0.46
18953,"A",0.002
31986,"A",0.388
67307,"A",0.236
65513,"A",0.864
83002,"A",0.076
73191,"A",0.064
47610,"A",0.33
36287,"A",0.958
15441,"A",0.114
54606,"A",1
87717,"A",0.67
48016,"A",0.714
43687,"A",0.802
20254,"A",0.036
92560,"A",0.134
67644,"A",0.972
92049,"A",0.024
49663,"A",0.208
80185,"A",0.084
40978,"A",0.606
72440,"A",0.764
4581,"A",0.944
16550,"A",0.282
59055,"A",0.732
230,"A",0.99
32651,"A",0.982
39672,"A",0.95
25033,"A",1
40852,"A",0.214
90454,"A",0.248
57240,"A",0.264
53808,"A",0.788
98736,"A",0.688
45793,"A",0.966
44325,"A",0.638
55668,"A",0.6
6867,"A",0.67
92211,"A",0.052
15534,"A",0.888
38075,"A",0.092
38486,"A",0.592
82940,"A",0.568
2808,"A",0.138
65990,"A",0.322
50799,"A",0.008
41402,"A",0.852
16082,"A",0.322
51668,"A",0.408
10187,"A",0.898
89254,"A",0.304
84081,"A",0.074
27662,"A",0.226
89691,"A",0.004
35283,"A",0.06
93585,"A",0.118
75940,"A",0.97
60736,"A",0.996
44728,"A",0.516
25250,"A",0.622
12561,"A",0.59
18141,"A",0.032
49237,"A",0.984
62814,"A",0.632
89485,"A",0.61
99253,"A",0.074
2860,"A",0.988
221,"A",0.41
21839,"A",0.996
63078,"A",0.628
80390,"A",0
28555,"A",0.286
41895,"A",0.79
58770,"A",0.38
2745,"A",0.402
81567,"A",0.748
52424,"A",0.884
45535,"A",0.57
60435,"A",0.016
35089,"A",0.608
75394,"A",0.736
24842,"A",0.226
78661,"A",0.984
20838,"A",0.762
81858,"A",0.41
66337,"A",0.194
64128,"A",0.926
60246,"A",0.476
44024,"A",0.352
23893,"A",0.402
20791,"A",0.142
12106,"A",0.002
52677,"A",0.652
33382,"A",0.118
86132,"A",0.57
57663,"A",0.812
21909,"A",0.76
33550,"A",0.962
43840,"A",0.222
59195,"A",0.188
93862,"A",0.082
43382,"A",0.77
19492,"A",0.8
56194,"A",0.476
33131,"A",0.144
35960,"A",0.998
43806,"A",0.996
98436,"A",0.628
63199,"A",0.99
98745,"A",0.994
22871,"A",0.986
46012,"A",0.184
86923,"A",0.892
71002,"A",0.858
74023,"A",0.806
56632,"A",0.996
63818,"A",0.986
4807,"A",0.564
75680,"A",0.326
76354,"A",0.268
5708,"A",0.402
88848,"A",0.192
3537,"A",0.026
59144,"A",0.07
33007,"A",0.096
63009,"A",0.508
28498,"A",0.276
19959,"A",0.666
60754,"A",0.294
48802,"A",0.156
41462,"A",0.524
42117,"A",0.558
65165,"A",0.356
11941,"A",0.14
48456,"A",0.774
4535,"A",0.76
1366,"A",0.808
47976,"A",0.784
19330,"A",0.104
38309,"A",0.274
70381,"A",0.006
17411,"A",0.36
56764,"A",0.002
38456,"A",0.006
34162,"A",0.154
86516,"A",0.114
62070,"A",0.248
12036,"A",0.096
46627,"A",0.004
29274,"A",0.432
3553,"A",0.634
98243,"A",0.404
93942,"A",0.666
8464,"A",0.524
91342,"A",0.548
72497,"A",0.01
50899,"A",0.654
6303,"A",0.834
67040,"A",0.716
84312,"A",0.646
81357,"A",0.092
61559,"A",0.504
86906,"A",0.432
68513,"A",0.012
3456,"A",1
725,"A",1
37259,"A",0.106
22907,"A",0.992
48090,"A",0
13968,"A",0.938
51455,"A",0.09
72520,"A",0.968
22304,"A",0.998
8949,"A",0.038
86971,"A",0.074
32642,"A",0.91
22234,"A",0.898
39697,"A",0.78
932,"A",0.924
49038,"A",0.446
45469,"A",0.014
30820,"A",0.142
50972,"A",0.666
13406,"A",0.786
63282,"A",0.628
60316,"A",0.01
94567,"A",0.38
85843,"A",0.32
60578,"A",0.36
50428,"A",0.866
36829,"A",0.896
78344,"A",0.012
22196,"A",0.202
46503,"A",0.008
49357,"A",0.964
37964,"A",0
15078,"A",0.016
45286,"A",0.958
70158,"A",0.734
10848,"A",0.996
18261,"A",0.502
91873,"A",0.604
56498,"A",0.98
30711,"A",0.574
33118,"A",0.652
8112,"A",0.736
41498,"A",0.792
60533,"A",0.258
40373,"A",0.376
36545,"A",1
12864,"A",0.914
66967,"A",0.672
41519,"A",0.016
31048,"A",0.06
69800,"A",0
5038,"A",0.71
35416,"A",0.03
70186,"A",0.074
56784,"A",0.99
57397,"A",0.964
75381,"A",0.622
43423,"A",0.556
34121,"A",0.902
12622,"A",0.422
36067,"A",0.824
43968,"A",0.018
80775,"A",0.246
74444,"A",0.124
52855,"A",0.45
46637,"A",0.19
51796,"A",0.056
11709,"A",0.034
56937,"A",0.09
23476,"A",0.178
15941,"A",0.07
24879,"A",0.988
76743,"A",0.822
11975,"A",0.198
38705,"A",0.85
91424,"A",0.858
42455,"A",0.97
34359,"A",0.924
89646,"A",0.02
56352,"A",0.126
42540,"A",0.034
59884,"A",0.798
75512,"A",0.178
86932,"A",0.76
82092,"A",0.7
40854,"A",0.62
56876,"A",0.788
27885,"A",0.822
76810,"A",0.098
2206,"A",0.876
5025,"A",0.968
20337,"A",0.934
73862,"A",0.708
34721,"A",0.018
14832,"A",0.55
77530,"A",0.042
40693,"A",0.082
35141,"A",0.116
33981,"A",0.956
60567,"A",0.082
53640,"A",0.19
68099,"A",0.944
67540,"A",0.484
61577,"A",1
26950,"A",0.914
35235,"A",0.69
84826,"A",0.684
5530,"A",0.776
23912,"A",0.692
68906,"A",0.204
66262,"A",0.874
12108,"A",0.248
68935,"A",0.794
18052,"A",0.662
85755,"A",0.908
34857,"A",0.684
49754,"A",0.954
66753,"A",0.766
49910,"A",0.044
68303,"A",0.348
48597,"A",0.262
2323,"A",0.314
23840,"A",0.296
62539,"A",0.962
40286,"A",0.024
65245,"A",0.998
86958,"A",0.246
97558,"A",0.686
51019,"A",0.01
50202,"A",0.554
31331,"A",0.072
88903,"A",0
64566,"A",0.894
99292,"A",0.814
25300,"A",0.476
96830,"A",0.574
20270,"A",0.74
3397,"A",0.978
77127,"A",0.08
37989,"A",0.082
73494,"A",0.004
65405,"A",0.436
92339,"A",0.012
52253,"A",0.914
4929,"A",0.684
49642,"A",0.25
65611,"A",0.06
4590,"A",0.656
39006,"A",0.172
3383,"A",0.19
17888,"A",0.634
33061,"A",0.5
82631,"A",0.768
70176,"A",0.02
28260,"A",0.276
19346,"A",0.584
57625,"A",0.06
92013,"A",0.316
11944,"A",0.158
11713,"A",0.984
17874,"A",0.058
43380,"A",0.216
19517,"A",0.008
11065,"A",0.014
45484,"A",0.018
60440,"A",0.062
61900,"A",0.936
51020,"A",0.826
23505,"A",0.346
74652,"A",0.7
98980,"A",0.532
8304,"A",0.61
66351,"A",0.602
53502,"A",0.012
49622,"A",0.076
6029,"A",0.15
86410,"A",0.412
47718,"A",0.664
83885,"A",0.94
47022,"A",0.002
88325,"A",0.534
16873,"A",0.15
3054,"A",0.868
21354,"A",0.462
1563,"A",0.888
16083,"A",0.084
67473,"A",0.562
92298,"A",0.044
85790,"A",0.922
39085,"A",0.84
42613,"A",0.082
46333,"A",0.4
56915,"A",0.908
93443,"A",0.604
85028,"A",0.91
77790,"A",0.692
66189,"A",0.98
17245,"A",0.362
86944,"A",0.146
75630,"A",0.786
44929,"A",0.056
66894,"A",0.092
37321,"A",0.428
7714,"A",0.934
35011,"A",0.764
4311,"A",0.3
7821,"A",0.374
8842,"A",0.006
83036,"A",0.01
73180,"A",0.406
65848,"A",0.282
12542,"A",0.006
3414,"A",0.702
18706,"A",0.258
23120,"A",0.998
4539,"A",0.916
98487,"A",0.352
7800,"A",0.902
59644,"A",0.906
20989,"A",0.018
17544,"A",0.618
93730,"A",0.002
74202,"A",0.612
76238,"A",0.806
78173,"A",0.954
2565,"A",0.992
87587,"A",0.974
93887,"A",0.76
73793,"A",0.662
54423,"A",0.996
58847,"A",0.098
44563,"A",0.036
46263,"A",0.578
60169,"A",0.034
75335,"A",0.996
32383,"A",0.976
60434,"A",0.336
16109,"A",0.266
59377,"A",0.172
49738,"A",0.696
70468,"A",0.064
80658,"A",0.042
51377,"A",0.994
44620,"A",0.452
81925,"A",1
29112,"A",0.58
3639,"A",0.51
93231,"A",0.888
82461,"A",0.968
77867,"A",0.74
59318,"A",0.29
79732,"A",0.28
14802,"A",0.628
54352,"A",0.92
96374,"A",0.562
89410,"A",0.98
85151,"A",0.07
11625,"A",0.156
63602,"A",0.1
50632,"A",0.778
42552,"A",0.914
67693,"A",0.288
94489,"A",0.864
99758,"A",0.056
69231,"A",0.938
95851,"A",0.22
17911,"A",0.528
73503,"A",0.764
60143,"A",0.504
52985,"A",0.004
12165,"A",0.002
98870,"A",0.112
52939,"A",0.06
35998,"A",0.532
58521,"A",0.024
71004,"A",0.018
12666,"A",0.898
29726,"A",0.87
36415,"A",0
52294,"A",0.1
62509,"A",0.316
58156,"A",0.104
29103,"A",0.952
71134,"A",0.082
45311,"A",0.662
84266,"A",0.85
48796,"A",0.644
45987,"A",0.202
22203,"A",0.648
61825,"A",0.356
8704,"A",0.302
71171,"A",0.254
1100,"A",0.084
29001,"A",0.136
79676,"A",0.012
64641,"A",0.288
9439,"A",0.062
36631,"A",0.524
62228,"A",0.838
56678,"A",0.008
90084,"A",0.348
47195,"A",0.524
48687,"A",0.698
85794,"A",0.998
37997,"A",0.13
40199,"A",0.728
65685,"A",0.962
16588,"A",0.406
37501,"A",0.744
62343,"A",0.794
76977,"A",0.796
12254,"A",0.002
76921,"A",0.872
6414,"A",0.11
68601,"A",0.406
29862,"A",0.462
6709,"A",0.992
47020,"A",1
25859,"A",0.958
98972,"A",0.17
48234,"A",0.112
48331,"A",0.1
81888,"A",0.08
72276,"A",0.544
80764,"A",0.968
1779,"A",0.866
87526,"A",0.976
41550,"A",0.344
3777,"A",0.026
51273,"A",0.72
50906,"A",0.6
33265,"A",0.738
65913,"A",0.896
36233,"A",0.004
27033,"A",0.088
9351,"A",0.72
45513,"A",0.032
12452,"A",0.018
89096,"A",0.816
59485,"A",0.41
63588,"A",0.108
80492,"A",0.304
74640,"A",0.736
55352,"A",0.776
14917,"A",0.3
31422,"A",0.044
16114,"A",0.044
69118,"A",0.842
69424,"A",0.742
27588,"A",0.766
4613,"A",0.614
75371,"A",0.966
90559,"A",0.13
51169,"A",0.144
20700,"A",0.938
19679,"A",0.13
10982,"A",0.076
99023,"A",0.228
1074,"A",0.096
45237,"A",0.836
19655,"A",0.058
16383,"A",0.36
60375,"A",0.184
43983,"A",0.798
56867,"A",0.72
86105,"A",0.032
66452,"A",0.278
69895,"A",0.454
18522,"A",0.248
15578,"A",0.64
30684,"A",0.996
18484,"A",0.81
60556,"A",0.96
22385,"A",0.75
30723,"A",0.984
95732,"A",0.004
10707,"A",0.618
16245,"A",0.636
9243,"A",0.998
23523,"A",0.898
61474,"A",0.096
56714,"A",0.698
47054,"A",0.118
30558,"A",0.53
92973,"A",0.924
6110,"A",0.088
65681,"A",0.564
12089,"A",0.04
46853,"A",0.83
43585,"A",0.87
53575,"A",0.716
8592,"A",0.048
6349,"A",0.906
41386,"A",0.452
65522,"A",0.886
73952,"A",0.004
25379,"A",0.006
44963,"A",0.71
44758,"A",0.306
78784,"A",0.542
35085,"A",0.17
72890,"A",0.974
83856,"A",0.032
99967,"A",0.55
20447,"A",0.456
51499,"A",0.868
76209,"A",0.658
60859,"A",0.98
23118,"A",0.88
72390,"A",0.28
80424,"A",0.814
74456,"A",0.096
91007,"A",0.11
87804,"A",0.21
29605,"A",0.04
68617,"A",0.55
59588,"A",0.256
7178,"A",0.018
92329,"A",0.996
63819,"A",0.676
54800,"A",0.888
55898,"A",0.178
85821,"A",0.604
85328,"A",0.992
56524,"A",0.966
18802,"A",0.222
24385,"A",0.282
34118,"A",0.558
26354,"A",0.994
39767,"A",0.996
19935,"A",0.98
95475,"A",0.946
69654,"A",0.022
85256,"A",0.966
70726,"A",0.85
48707,"A",0.458
61481,"A",0.764
8727,"A",0.512
20209,"A",0.982
36703,"A",0.526
25988,"A",0.404
9554,"A",0.01
297,"A",0.36
45636,"A",0.256
73825,"A",0.402
16586,"A",0.198
45045,"A",0.07
69158,"A",0.022
61308,"A",0.128
74288,"A",0.99
89914,"A",0.204
97932,"A",0.044
19594,"A",0.424
18284,"A",0.924
76378,"A",0.052
91650,"A",0.342
47581,"A",0.728
63857,"A",0.138
37132,"A",0.028
38350,"A",0.81
17006,"A",0.722
6443,"A",1
28314,"A",0.89
69128,"A",0.876
81717,"A",0.19
45777,"A",0.846
54813,"A",0.166
62943,"A",0.022
204,"A",0.538
46543,"A",0.054
41270,"A",0.91
57912,"A",0.166
12287,"A",0.766
76061,"A",0.896
93373,"A",0.094
45363,"A",0.024
63354,"A",0.516
20191,"A",0.076
13312,"A",0.538
26079,"A",0.148
24355,"A",0.848
80999,"A",0.06
23895,"A",0.256
77506,"A",0.592
45088,"A",0.118
77108,"A",0.592
34734,"A",0.54
6993,"A",0.024
44763,"A",0
32052,"A",0.134
30081,"A",0.71
49043,"A",0.886
80837,"A",0.356
37827,"A",0.146
43793,"A",0.814
98841,"A",0.58
64193,"A",0.346
68085,"A",0.882
71280,"A",0.652
43398,"A",0.992
73551,"A",1
62344,"A",0.308
11100,"A",0.694
57655,"A",0.412
86544,"A",0.418
61065,"A",0.124
47003,"A",0.202
47982,"A",0.006
70435,"A",0.148
43990,"A",0.688
96486,"A",0.872
35768,"A",0.248
37536,"A",0.126
94094,"A",0.516
27449,"A",0.54
75914,"A",0.698
95613,"A",0.006
95989,"A",0.326
72467,"A",0.304
52349,"A",0.982
67596,"A",0.638
32670,"A",0.13
30261,"A",0.192
70244,"A",0.356
19424,"A",0.026
59906,"A",0.138
52482,"A",0.026
64996,"A",0.124
9366,"A",0.138
71609,"A",0.016
18698,"A",0.012
4519,"A",0.894
92485,"A",0.362
21038,"A",0.974
40842,"A",0.71
62363,"A",0.816
62728,"A",0.724
25309,"A",0.818
53858,"A",0.654
92294,"A",0.894
21171,"A",0.706
39550,"A",0.756
6438,"A",0.358
29214,"A",0.93
66911,"A",0.028
90386,"A",0.996
97441,"A",0.438
81909,"A",0.146
99542,"A",0.562
68535,"A",0.656
31131,"A",0.452
93140,"A",0.996
68555,"A",0.054
15213,"A",0.064
5152,"A",0.774
13217,"A",0.954
18143,"A",0.038
2098,"A",0.106
96275,"A",0.048
6225,"A",0.732
4254,"A",0.124
3505,"A",0.974
11253,"A",0.984
28140,"A",0.852
76395,"A",0.466
10191,"A",0.654
64523,"A",0.074
55863,"A",0.942
71066,"A",0.296
24157,"A",0.39
2797,"A",0.052
10892,"A",0.798
78202,"A",0.342
75544,"A",0.004
75114,"A",0.076
50918,"A",0.016
25686,"A",0.148
39815,"A",0.144
14383,"A",0.274
25231,"A",0.178
80970,"A",0.022
84304,"A",0.486
76910,"A",1
93888,"A",0.714
56896,"A",0.556
9866,"A",0.496
96403,"A",0.68
80048,"A",0.81
39028,"A",0.792
48243,"A",0.38
61918,"A",0.216
37067,"A",0.23
2152,"A",0.012
59667,"A",0.798
70245,"A",0.308
5659,"A",0.758
76222,"A",0.006
91478,"A",0.446
1549,"A",0.172
30751,"A",0.342
17900,"A",0.326
57740,"A",0.714
25597,"A",0.528
9214,"A",0.008
92127,"A",0.806
18565,"A",0.054
14143,"A",0.832
42081,"A",0.968
41617,"A",0.314
16686,"A",0.8
13237,"A",0.746
74088,"A",0.604
9584,"A",0.028
37702,"A",0.448
31287,"A",0.086
51756,"A",0.854
91706,"A",0.656
96487,"A",0.57
6833,"A",0.05
40348,"A",0.042
48779,"A",0.148
25259,"A",0.744
73107,"A",0.474
32143,"A",0
28482,"A",0.056
49284,"A",0.482
33787,"A",1
3234,"A",0.232
43161,"A",0
45976,"A",0.408
8822,"A",0.85
13126,"A",0.966
60274,"A",0.896
42393,"A",0.13
43681,"A",0.518
50718,"A",0.83
87156,"A",0.116
79692,"A",0.012
98477,"A",0.202
86040,"A",0.846
91430,"A",0.75
2262,"A",0.99
86781,"A",0.69
31723,"A",0.932
86703,"A",0.176
82156,"A",0.912
7064,"A",0.002
36410,"A",0.634
51431,"A",0.842
85042,"A",0.226
60175,"A",0.814
27321,"A",0.802
31168,"A",0.612
23238,"A",0.454
74209,"A",0.316
38897,"A",0.706
87930,"A",0.674
60071,"A",0.198
71151,"A",0.286
6910,"A",0.154
58540,"A",0.162
72364,"A",0.542
94682,"A",0.508
75525,"A",0.576
49352,"A",0.48
9117,"A",0.92
61383,"A",0.056
75547,"A",0.68
77017,"A",0.7
90615,"A",0.846
49922,"A",0.862
63136,"A",0.392
94010,"A",0.904
62425,"A",0.012
53730,"A",0.044
29342,"A",0.102
6044,"A",0.33
22465,"A",0.048
37322,"A",0.084
74520,"A",0.21
91999,"A",0.912
13918,"A",0.334
57932,"A",0.708
21654,"A",0.464
1030,"A",0.894
80965,"A",0.604
20821,"A",0.012
62663,"A",0.004
93250,"A",0.996
50470,"A",0.036
48618,"A",0.192
85172,"A",0.606
863,"A",0.638
14829,"A",0.048
25763,"A",0.394
90135,"A",0.31
3768,"A",0.714
96307,"A",0.078
33169,"A",0.048
36151,"A",0.398
67015,"A",0.002
